app_id,name,total_reviews,review_score,is_free,price,release_date,all_time_peak,avg_count,day_peak,ownership,owner_range,owners_lower,owners_upper,owner_bucket,activity_bucket,review_bucket,positive_reviews,negative_reviews,players_forever,players_2weeks,steamspy_ccu
2172180,Howl,49,7,False,999,"Nov 14, 2023",7,1.0675675675675675,1,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,lt_50,lt_100,55,2,,,1
437900,Party Jousting,9,0,True,,"Mar 1, 2016",6003,37.257894736842104,0,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,lt_50,100_1k,662,61,,,1
464920,Surviving Mars,10587,6,False,,"Mar 15, 2018",23722,571.934611048478,327,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,500_5k,10k_100k,22472,4098,,,507
338540,Navy Field 2 : Conqueror of the Ocean,3,0,False,,"Mar 5, 2015",1548,19.40990990990991,1,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,zero,1k_10k,619,771,,,0
1606180,下一站江湖Ⅱ,152,6,False,2499,"Apr 17, 2024",4637,161.1967621419676,201,350000,"200,000 .. 500,000",200000,500000,100k_500k,50_500,1k_10k,6219,2155,,,170
2104890,RoadCraft,6604,6,False,2399,"May 20, 2025",32807,1296.0480404551201,1824,350000,"200,000 .. 500,000",200000,500000,100k_500k,gte_5k,1k_10k,5784,1884,,,8156
7650,X-COM: Terror From the Deep,503,8,False,124,"May 4, 2007",126,22.550943396226415,26,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,lt_50,100_1k,788,79,,,16
1575870,UpGun,90,8,True,,"Aug 13, 2021",538,48.53237410071942,90,350000,"200,000 .. 500,000",200000,500000,100k_500k,50_500,1k_10k,3448,661,,,52
1289310,Helltaker,164,8,True,,"May 11, 2020",6489,108.70857814336075,90,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,50_500,gte_100k,122115,2803,,,75
1085660,Destiny 2,79282,6,True,,"Oct 1, 2019",316651,19389.284051222352,22023,35000000,"20,000,000 .. 50,000,000",20000000,50000000,gte_10m,gte_5k,gte_100k,497891,127725,,,24619
1849250,EA SPORTS WRC,5636,5,False,4999,"Nov 2, 2023",3960,262.98887515451173,319,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,50_500,1k_10k,6135,3674,,,262
282070,This War of Mine,22894,8,False,1999,"Nov 14, 2014",9343,1035.258977149075,936,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,500_5k,gte_100k,94484,7256,,,756
286690,Metro 2033 Redux,27483,8,False,199,"Aug 25, 2014",50225,1514.4815217391304,1695,7500000,"5,000,000 .. 10,000,000",5000000,10000000,2m_10m,500_5k,gte_100k,101543,9424,,,1208
745740,Reflex,374,8,False,99,"Nov 23, 2017",2611,47.31629392971246,2,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,lt_50,100_1k,670,115,,,2
2878200,Supreme Ruler Global Outbreak,2,0,False,1999,"Apr 24, 2025",5,0.8043478260869565,0,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,lt_50,lt_100,1,0,,,1
10180,Call of Duty: Modern Warfare 2 (2009),16841,8,False,1999,"Nov 11, 2009",2231,486.6074074074074,486,7500000,"5,000,000 .. 10,000,000",5000000,10000000,2m_10m,50_500,10k_100k,54145,3973,,,399
2221490,Tom Clancy’s The Division 2,16454,6,False,749,"Jan 12, 2023",27482,6924.2967032967035,6996,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,gte_5k,10k_100k,17029,5339,,,9481
